[9/5/2023 2:43:56 AM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:46:42 AM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:57:08 AM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 3:37:35 AM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 3:37:55 AM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 1:21:25 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 1:35:55 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:19:39 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:26:16 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:29:05 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:30:51 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 2:32:21 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:24:26 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:36:47 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:39:25 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:39:27 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:40:35 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:43:50 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 8:46:39 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 10:43:35 PM] [INFO] received Windows console close event; shutting log-core down
[9/5/2023 10:45:21 PM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:25:06 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:27:59 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:33:17 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:35:39 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:37:02 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:38:56 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:43:07 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:44:59 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:48:36 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:49:57 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:52:23 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 2:54:31 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 3:00:53 AM] [INFO] received Windows console close event; shutting log-core down
[9/6/2023 3:05:27 AM] [INFO] received Windows console close event; shutting log-core down
